dataset,sample_id,source_image_id,split,box_index,class_id,class_name,x_center,y_center,width,height,format,crop_size,notes
Cityscapes--Pedestrian,aachen_000005_000019_crop_3291,aachen_000005_000019,train,0,0,pedestrian,0.314453,0.683594,0.074219,0.179688,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000005_000019_crop_3291,aachen_000005_000019,train,1,0,pedestrian,0.226562,0.691406,0.078125,0.187500,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000005_000019_crop_3291,aachen_000005_000019,train,2,0,pedestrian,0.886719,0.664062,0.070312,0.171875,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000005_000019_crop_3291,aachen_000005_000019,train,3,0,pedestrian,0.933594,0.662109,0.070312,0.175781,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000011_000019_crop_643,aachen_000011_000019,train,0,0,pedestrian,0.945312,0.718750,0.023438,0.062500,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000011_000019_crop_643,aachen_000011_000019,train,1,0,pedestrian,0.988281,0.716797,0.023438,0.074219,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000011_000019_crop_643,aachen_000011_000019,train,2,0,pedestrian,0.396484,0.794922,0.042969,0.105469,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000011_000019_crop_643,aachen_000011_000019,train,3,0,pedestrian,0.488281,0.804688,0.070312,0.171875,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000011_000019_crop_643,aachen_000011_000019,train,4,0,pedestrian,0.439453,0.837891,0.074219,0.183594,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000011_000019_crop_643,aachen_000011_000019,train,5,0,pedestrian,0.183594,0.822266,0.078125,0.191406,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000011_000019_crop_643,aachen_000011_000019,train,6,0,pedestrian,0.167969,0.843750,0.062500,0.148438,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000011_000019_crop_643,aachen_000011_000019,train,7,0,pedestrian,0.236328,0.828125,0.074219,0.171875,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000011_000019_crop_643,aachen_000011_000019,train,8,0,pedestrian,0.298828,0.837891,0.082031,0.199219,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000012_000019_crop_585,aachen_000012_000019,train,0,0,pedestrian,0.425781,0.310547,0.101562,0.238281,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000012_000019_crop_585,aachen_000012_000019,train,1,0,pedestrian,0.478516,0.281250,0.089844,0.218750,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000012_000019_crop_585,aachen_000012_000019,train,2,0,pedestrian,0.369141,0.298828,0.113281,0.277344,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000012_000019_crop_585,aachen_000012_000019,train,3,0,pedestrian,0.316406,0.369141,0.148438,0.363281,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000012_000019_crop_585,aachen_000012_000019,train,4,0,pedestrian,0.509766,0.369141,0.136719,0.332031,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000012_000019_crop_585,aachen_000012_000019,train,5,0,pedestrian,0.699219,0.388672,0.117188,0.292969,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000012_000019_crop_585,aachen_000012_000019,train,6,0,pedestrian,0.767578,0.388672,0.128906,0.316406,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
Cityscapes--Pedestrian,aachen_000012_000019_crop_585,aachen_000012_000019,train,7,0,pedestrian,0.736328,0.388672,0.128906,0.316406,YOLO,256x256,Public box annotation row generated from local reconstructed YOLO labels
