sample_id,source_image_id,split,class_id,class_name,num_boxes,detector_name,detector_confidence_rule,min_object_size_rule,crop_size,source_width,source_height,privacy_blur_present,occlusion_expected,grouping_expected,derived_artifact_relpath,annotation_relpath,filter_stage,notes
aachen_000005_000019_crop_3291,aachen_000005_000019,train,0,pedestrian,4,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000011_000019_crop_643,aachen_000011_000019,train,0,pedestrian,9,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000012_000019_crop_585,aachen_000012_000019,train,0,pedestrian,10,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000013_000019_crop_1003,aachen_000013_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000013_000019_crop_1137,aachen_000013_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000014_000019_crop_780,aachen_000014_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000014_000019_crop_893,aachen_000014_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000015_000019_crop_433,aachen_000015_000019,train,0,pedestrian,11,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000016_000019_crop_116,aachen_000016_000019,train,0,pedestrian,16,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000017_000019_crop_250,aachen_000017_000019,train,0,pedestrian,13,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000017_000019_crop_284,aachen_000017_000019,train,0,pedestrian,13,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000018_000019_crop_376,aachen_000018_000019,train,0,pedestrian,12,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000019_000019_crop_324,aachen_000019_000019,train,0,pedestrian,12,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000019_000019_crop_377,aachen_000019_000019,train,0,pedestrian,12,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000020_000019_crop_1004,aachen_000020_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000020_000019_crop_1138,aachen_000020_000019,train,0,pedestrian,7,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000021_000019_crop_434,aachen_000021_000019,train,0,pedestrian,11,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000022_000019_crop_1272,aachen_000022_000019,train,0,pedestrian,6,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000022_000019_crop_1964,aachen_000022_000019,train,0,pedestrian,4,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000023_000019_crop_781,aachen_000023_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000026_000019_crop_1564,aachen_000026_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000029_000019_crop_1565,aachen_000029_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000029_000019_crop_2529,aachen_000029_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000031_000019_crop_644,aachen_000031_000019,train,0,pedestrian,9,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000031_000019_crop_895,aachen_000031_000019,train,0,pedestrian,8,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
aachen_000032_000019_crop_1566,aachen_000032_000019,train,0,pedestrian,5,YOLOv5x,> 0.8,70x32,256x256,2048,1024,yes,yes,yes,,,post_stage_05_split,Public non-image record generated from local authorized YOLO split
