sample_id,source_image_id,selected_instance_index,source_annotation_id,source_category_id,source_category_name,split,class_id,class_name,num_boxes,crop_size,source_width,source_height,selected_instance_bbox_width,selected_instance_bbox_height,small_box_filter_rule,random_offset_expected,context_variability_expected,mask_expected,derived_artifact_relpath,annotation_relpath,filter_stage,notes
000000000049_inst0000_crop_97_220,000000000049,0,,,potted plant,train,0,potted_plant,1,256x256,381,500,70.84,47.23,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000127_inst0000_crop_28_47,000000000127,0,,,potted plant,train,0,potted_plant,1,256x256,640,481,64.69,70.6,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000138_inst0000_crop_365_15,000000000138,0,,,potted plant,train,0,potted_plant,1,256x256,640,573,44.0,58.79,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000241_inst0000_crop_28_24,000000000241,0,,,potted plant,train,0,potted_plant,1,256x256,480,640,109.84,201.2,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000241_inst0001_crop_26_339,000000000241,1,,,potted plant,train,0,potted_plant,1,256x256,480,640,49.78,72.27,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000349_inst0000_crop_342_113,000000000349,0,,,potted plant,train,0,potted_plant,3,256x256,640,480,62.88,78.37,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000349_inst0001_crop_357_85,000000000349,1,,,potted plant,train,0,potted_plant,3,256x256,640,480,50.59,62.63,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000349_inst0002_crop_274_91,000000000349,2,,,potted plant,train,0,potted_plant,3,256x256,640,480,28.71,39.92,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000446_inst0000_crop_220_164,000000000446,0,,,potted plant,train,0,potted_plant,3,256x256,480,640,58.42,84.78,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
000000000446_inst0001_crop_212_217,000000000446,1,,,potted plant,train,0,potted_plant,3,256x256,480,640,62.51,98.7,"min_w>=12,min_h>=12",yes,yes,no,,,post_stage_02_cropped_yolo,Public metadata record generated from local cropped YOLO subset
