"sample_id","image_relpath","annotation_relpath","mask_relpath","split","class_id","class_name","num_boxes","released_width","released_height","annotation_format","notes"
"2022-04-07T06.03.45.frame1_183_86_2","Train_Data/images/train/2022-04-07T06.03.45.frame1_183_86_2.jpg","Train_Data/labels/train/2022-04-07T06.03.45.frame1_183_86_2.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-07T09.15.48.frame11_0_6_2","Train_Data/images/train/2022-04-07T09.15.48.frame11_0_6_2.jpg","Train_Data/labels/train/2022-04-07T09.15.48.frame11_0_6_2.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
"2022-04-07T09.15.51.frame1_182_139_1","Train_Data/images/train/2022-04-07T09.15.51.frame1_182_139_1.jpg","Train_Data/labels/train/2022-04-07T09.15.51.frame1_182_139_1.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
"2022-04-07T09.46.13.frame1_78_63_0","Train_Data/images/train/2022-04-07T09.46.13.frame1_78_63_0.jpg","Train_Data/labels/train/2022-04-07T09.46.13.frame1_78_63_0.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-07T10.22.09.frame21_468_78_4","Train_Data/images/train/2022-04-07T10.22.09.frame21_468_78_4.jpg","Train_Data/labels/train/2022-04-07T10.22.09.frame21_468_78_4.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-07T10.22.09.frame31_282_6_1","Train_Data/images/train/2022-04-07T10.22.09.frame31_282_6_1.jpg","Train_Data/labels/train/2022-04-07T10.22.09.frame31_282_6_1.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-07T11.06.50.frame11_261_11_0","Train_Data/images/train/2022-04-07T11.06.50.frame11_261_11_0.jpg","Train_Data/labels/train/2022-04-07T11.06.50.frame11_261_11_0.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-07T11.40.54.frame41_364_66_1","Train_Data/images/train/2022-04-07T11.40.54.frame41_364_66_1.jpg","Train_Data/labels/train/2022-04-07T11.40.54.frame41_364_66_1.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-07T12.08.32.frame41_235_18_3","Train_Data/images/train/2022-04-07T12.08.32.frame41_235_18_3.jpg","Train_Data/labels/train/2022-04-07T12.08.32.frame41_235_18_3.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-07T12.09.39.frame31_407_150_2","Train_Data/images/train/2022-04-07T12.09.39.frame31_407_150_2.jpg","Train_Data/labels/train/2022-04-07T12.09.39.frame31_407_150_2.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-07T12.18.39.frame11_301_10_1","Train_Data/images/train/2022-04-07T12.18.39.frame11_301_10_1.jpg","Train_Data/labels/train/2022-04-07T12.18.39.frame11_301_10_1.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
"2022-04-07T12.21.00.frame21_284_259_1","Train_Data/images/train/2022-04-07T12.21.00.frame21_284_259_1.jpg","Train_Data/labels/train/2022-04-07T12.21.00.frame21_284_259_1.txt","","train","0","TrafficSigns","3","256","256","YOLO",""
"2022-04-07T12.21.16.frame31_270_165_2","Train_Data/images/train/2022-04-07T12.21.16.frame31_270_165_2.jpg","Train_Data/labels/train/2022-04-07T12.21.16.frame31_270_165_2.txt","","train","0","TrafficSigns","3","256","256","YOLO",""
"2022-04-07T13.11.14.frame21_7_218_1","Train_Data/images/train/2022-04-07T13.11.14.frame21_7_218_1.jpg","Train_Data/labels/train/2022-04-07T13.11.14.frame21_7_218_1.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
"2022-04-07T13.18.57.frame31_21_151_0","Train_Data/images/train/2022-04-07T13.18.57.frame31_21_151_0.jpg","Train_Data/labels/train/2022-04-07T13.18.57.frame31_21_151_0.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
"2022-04-07T13.19.19.frame31_449_298_2","Train_Data/images/train/2022-04-07T13.19.19.frame31_449_298_2.jpg","Train_Data/labels/train/2022-04-07T13.19.19.frame31_449_298_2.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
"2022-04-07T13.25.50.frame21_674_140_0","Train_Data/images/train/2022-04-07T13.25.50.frame21_674_140_0.jpg","Train_Data/labels/train/2022-04-07T13.25.50.frame21_674_140_0.txt","","train","0","TrafficSigns","5","256","256","YOLO",""
"2022-04-07T13.25.50.frame41_0_16_1","Train_Data/images/train/2022-04-07T13.25.50.frame41_0_16_1.jpg","Train_Data/labels/train/2022-04-07T13.25.50.frame41_0_16_1.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
"2022-04-08T06.06.38.frame21_426_50_0","Train_Data/images/train/2022-04-08T06.06.38.frame21_426_50_0.jpg","Train_Data/labels/train/2022-04-08T06.06.38.frame21_426_50_0.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
"2022-04-08T06.07.34.frame11_204_10_2","Train_Data/images/train/2022-04-08T06.07.34.frame11_204_10_2.jpg","Train_Data/labels/train/2022-04-08T06.07.34.frame11_204_10_2.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
"2022-04-08T06.14.38.frame31_241_132_1","Train_Data/images/train/2022-04-08T06.14.38.frame31_241_132_1.jpg","Train_Data/labels/train/2022-04-08T06.14.38.frame31_241_132_1.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-08T06.59.36.frame21_1_50_0","Train_Data/images/train/2022-04-08T06.59.36.frame21_1_50_0.jpg","Train_Data/labels/train/2022-04-08T06.59.36.frame21_1_50_0.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-08T07.08.31.frame1_204_64_2","Train_Data/images/train/2022-04-08T07.08.31.frame1_204_64_2.jpg","Train_Data/labels/train/2022-04-08T07.08.31.frame1_204_64_2.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-08T07.12.38.frame41_33_5_0","Train_Data/images/train/2022-04-08T07.12.38.frame41_33_5_0.jpg","Train_Data/labels/train/2022-04-08T07.12.38.frame41_33_5_0.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-08T07.12.58.frame31_11_58_3","Train_Data/images/train/2022-04-08T07.12.58.frame31_11_58_3.jpg","Train_Data/labels/train/2022-04-08T07.12.58.frame31_11_58_3.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-08T07.13.32.frame21_109_1_0","Train_Data/images/train/2022-04-08T07.13.32.frame21_109_1_0.jpg","Train_Data/labels/train/2022-04-08T07.13.32.frame21_109_1_0.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-08T07.40.11.frame11_217_83_1","Train_Data/images/train/2022-04-08T07.40.11.frame11_217_83_1.jpg","Train_Data/labels/train/2022-04-08T07.40.11.frame11_217_83_1.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
"2022-04-08T07.46.13.frame41_256_15_3","Train_Data/images/train/2022-04-08T07.46.13.frame41_256_15_3.jpg","Train_Data/labels/train/2022-04-08T07.46.13.frame41_256_15_3.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-08T07.47.48.frame41_287_33_2","Train_Data/images/train/2022-04-08T07.47.48.frame41_287_33_2.jpg","Train_Data/labels/train/2022-04-08T07.47.48.frame41_287_33_2.txt","","train","0","TrafficSigns","2","256","256","YOLO",""
"2022-04-08T08.13.48.frame41_197_41_0","Train_Data/images/train/2022-04-08T08.13.48.frame41_197_41_0.jpg","Train_Data/labels/train/2022-04-08T08.13.48.frame41_197_41_0.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
"2022-04-08T08.30.26.frame31_1_93_2","Train_Data/images/train/2022-04-08T08.30.26.frame31_1_93_2.jpg","Train_Data/labels/train/2022-04-08T08.30.26.frame31_1_93_2.txt","","train","0","TrafficSigns","1","256","256","YOLO",""
